Book Name,Author,Rating,Number of Reviews,Price,Description,Listening Time (minutes),Genre,Rank,combined_text,cleaned_text,cluster
The Power of Your Subconscious Mind,Joseph Murphy,4.5,15838.799999999928,99.0,"""the power of your subconscious mind"" will open a world of success, happiness, prosperity, and peace for you. it is one of the most brilliant and beloved spiritual self-help works of all time which can help you heal yourself, banish your fears, sleep better, enjoy better relationships and just feel happier. the techniques are simple and results come quickly. you can improve your relationships, your finances, your physical well-being.",433.0,New Thought Spirituality,1,"The Power of Your Subconscious Mind ""The Power of Your Subconscious Mind"" will open a world of success, happiness, prosperity, and peace for you. It is one of the most brilliant and beloved spiritual self-help works of all time which can help you heal yourself, banish your fears, sleep better, enjoy better relationships and just feel happier. The techniques are simple and results come quickly. You can improve your relationships, your finances, your physical well-being.",power subconscious mind power subconscious mind open world success happiness prosperity peace one brilliant beloved spiritual selfhelp work time help heal banish fear sleep better enjoy better relationship feel happier technique simple result come quickly improve relationship finance physical wellbeing,3
Raavan: Enemy of Aryavarta,Amish Tripathi,4.5,4477.0,836.0,"without the darkness, light has no purpose. ",692.0,Fiction Sagas,1,"Raavan: Enemy of Aryavarta Without the darkness, light has no purpose. ",raavan enemy aryavarta without darkness light purpose,3
"The Power of Habit: Why We Do What We Do, and How to Change",Charles Duhigg,4.5,6702.0,888.0,brought to you by penguin.,653.0,Organisational Behaviour,1,"The Power of Habit: Why We Do What We Do, and How to Change Brought to you by Penguin.",power habit change brought penguin,0
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,4.8,11213.0,836.0,"for david goggins, childhood was a nightmare - poverty, prejudice, and physical abuse colored his days and haunted his nights. but through self-discipline, mental toughness, and hard work, goggins transformed himself from a depressed, overweight young man with no future into a us armed forces icon and one of the world's top endurance athletes. the only man in history to complete elite training as a navy seal, army ranger, and air force tactical air controller, he went on to set records in numerous endurance events, inspiring outside magazine to name him the fittest (real) man in america. ",817.0,Biographies & Memoirs,7,"Can't Hurt Me: Master Your Mind and Defy the Odds For David Goggins, childhood was a nightmare - poverty, prejudice, and physical abuse colored his days and haunted his nights. But through self-discipline, mental toughness, and hard work, Goggins transformed himself from a depressed, overweight young man with no future into a US Armed Forces icon and one of the world's top endurance athletes. The only man in history to complete elite training as a Navy SEAL, Army Ranger, and Air Force Tactical Air Controller, he went on to set records in numerous endurance events, inspiring Outside magazine to name him The Fittest (Real) Man in America. ",cant hurt master mind defy odds david goggins childhood nightmare poverty prejudice physical abuse colored day haunted night selfdiscipline mental toughness hard work goggins transformed depressed overweight young man future u armed force icon one world top endurance athlete man history complete elite training navy seal army ranger air force tactical air controller went set record numerous endurance event inspiring outside magazine name fittest real man america,3
Zero to One,Peter Thiel,4.4,5306.0,615.0,"what valuable company is nobody building? the next bill gates will not build an operating system. the next larry page or sergey brin won't make a search engine. if you are copying these guys, you aren't learning from them. it's easier to copy a model than to make something new: doing what we already know how to do takes the world from 1 to 10, adding more of something familiar. ",290.0,Business Management,1,"Zero to One What valuable company is nobody building? The next Bill Gates will not build an operating system. The next Larry Page or Sergey Brin won't make a search engine. If you are copying these guys, you aren't learning from them. It's easier to copy a model than to make something new: doing what we already know how to do takes the world from 1 to 10, adding more of something familiar. ",zero one valuable company nobody building next bill gate build operating system next larry page sergey brin wont make search engine copying guy arent learning easier copy model make something new already know take world adding something familiar,3
My Gita,Devdutt Pattanaik,4.2,1241.0,501.0,"in my gita, acclaimed mythologist devdutt pattanaik demystifies the bhagavad gita for the contemporary reader. his unique approach - thematic rather than verse by verse - makes the ancient treatise eminently accessible. ",375.0,Philosophy,1,"My Gita In My Gita, acclaimed mythologist Devdutt Pattanaik demystifies The Bhagavad Gita for the contemporary reader. His unique approach - thematic rather than verse by verse - makes the ancient treatise eminently accessible. ",gita gita acclaimed mythologist devdutt pattanaik demystifies bhagavad gita contemporary reader unique approach thematic rather verse verse make ancient treatise eminently accessible,3
"Harry Potter and the Philosopher's Stone, Book 1",J.K. Rowling,4.7,11864.0,999.0,"""turning the envelope over, his hand trembling, harry saw a purple wax seal bearing a coat of arms; a lion, an eagle, a badger and a snake surrounding a large letter 'h'."" ",573.0,Family Life Fiction for Children,1,"Harry Potter and the Philosopher's Stone, Book 1 ""Turning the envelope over, his hand trembling, Harry saw a purple wax seal bearing a coat of arms; a lion, an eagle, a badger and a snake surrounding a large letter 'H'."" ",harry potter philosopher stone book turning envelope hand trembling harry saw purple wax seal bearing coat arm lion eagle badger snake surrounding large letter h,3
Never Split the Difference: Negotiating as if Your Life Depended on It,Chris Voss,4.7,6440.0,888.0,brought to you by penguin.,487.0,Meetings & Presentations,1,Never Split the Difference: Negotiating as if Your Life Depended on It Brought to you by Penguin.,never split difference negotiating life depended brought penguin,0
Chanakya Neeti,Acharya Chanakya,4.4,92.0,668.0,"chanakya was an indian teacher, philosopher, and royal advisor. he managed the first maurya emperor chandragupta’s rise to power at a young age. he is widely credited for having played an important role in the establishment of the maurya empire, which was the first empire in archaeologically recorded history to rule most of the indian subcontinent.",302.0,Biographies & Memoirs,5,"Chanakya Neeti Chanakya was an Indian teacher, philosopher, and royal advisor. He managed the first Maurya emperor Chandragupta’s rise to power at a young age. He is widely credited for having played an important role in the establishment of the Maurya Empire, which was the first empire in archaeologically recorded history to rule most of the Indian subcontinent.",chanakya neeti chanakya indian teacher philosopher royal advisor managed first maurya emperor chandraguptas rise power young age widely credited played important role establishment maurya empire first empire archaeologically recorded history rule indian subcontinent,3
The Rudest Book Ever: Insanely Practical Ideas to Free Your Mind from All Bulls--t,Shwetabh Gangwar,4.5,2076.0,501.0,"shwetabh gangwar is a professional problem-solver - and he’s ace at it. for the past five years, people from all over the world have contacted him with their troubles, and he’s worked these out for them.",291.0,Self-Esteem,2,"The Rudest Book Ever: Insanely Practical Ideas to Free Your Mind from All Bulls--t Shwetabh Gangwar is a professional problem-solver - and he’s ace at it. For the past five years, people from all over the world have contacted him with their troubles, and he’s worked these out for them.",rudest book ever insanely practical idea free mind bullst shwetabh gangwar professional problemsolver he ace past five year people world contacted trouble he worked,3
Start with Why: How Great Leaders Inspire Everyone to Take Action (Int'l Edit.),Simon Sinek,4.5,3823.0,820.0,"why are some people and organizations more innovative, more influential, and more profitable than others? why do some command greater loyalty from customers and employees alike? even among the successful, why are so few able to repeat their successes over and over? ",432.0,Leadership,2,"Start with Why: How Great Leaders Inspire Everyone to Take Action (Int'l Edit.) Why are some people and organizations more innovative, more influential, and more profitable than others? Why do some command greater loyalty from customers and employees alike? Even among the successful, why are so few able to repeat their successes over and over? ",start great leader inspire everyone take action intl edit people organization innovative influential profitable others command greater loyalty customer employee alike even among successful able repeat success,3
The Tatas: How a Family Built a Business and a Nation,Girish Kuber,4.4,53.0,668.0,winner of the gaja capital business book prize 2019,581.0,Biographies of Business Leaders,4,The Tatas: How a Family Built a Business and a Nation Winner of the Gaja Capital Business Book Prize 2019,tatas family built business nation winner gaja capital business book prize,3
Hyperfocus,Chris Bailey,4.5,155.0,323.0,"our attention has never been as overwhelmed or in demand as it is today; we've never been so busy while accomplishing so little, and we've grown uncomfortable with boredom and a lack of stimulation and distraction.",399.0,Time Management,1,"Hyperfocus Our attention has never been as overwhelmed or in demand as it is today; we've never been so busy while accomplishing so little, and we've grown uncomfortable with boredom and a lack of stimulation and distraction.",hyperfocus attention never overwhelmed demand today weve never busy accomplishing little weve grown uncomfortable boredom lack stimulation distraction,3
"Limitless: Upgrade Your Brain, Learn Anything Faster, and Unlock Your Exceptional Life",Jim Kwik,4.7,2361.0,750.0,an instant new york times best seller and number one wall street journal best seller,777.0,Memory Improvement,2,"Limitless: Upgrade Your Brain, Learn Anything Faster, and Unlock Your Exceptional Life An instant New York Times best seller and number one Wall Street Journal best seller",limitless upgrade brain learn anything faster unlock exceptional life instant new york time best seller number one wall street journal best seller,3
Meri Gita,Devdutt Pattanaik,4.2,129.0,668.0,"in meri gita, acclaimed mythologist devdutt pattanaik demystifies the bhagavad gita for the contemporary listener. his unique approach - thematic rather than verse-by-verse - makes the ancient treatise eminently accessible.in a world that seems spellbound by argument over dialogue, vi-vaad over sam-vaad, devdutt highlights how krishna nudges arjuna to understand rather than judge his relationships. this becomes relevant today when we are increasingly indulging and isolating the self (self-improvement, self-actualization, self-realization - even selfies!) we forget that we live in an ecosystem of others, where we can nourish each other with food, love and meaning, even when we fight. ",459.0,Eastern Philosophy,2,"Meri Gita In Meri Gita, acclaimed mythologist Devdutt Pattanaik demystifies The Bhagavad Gita for the contemporary listener. His unique approach - thematic rather than verse-by-verse - makes the ancient treatise eminently accessible.In a world that seems spellbound by argument over dialogue, vi-vaad over sam-vaad, Devdutt highlights how Krishna nudges Arjuna to understand rather than judge his relationships. This becomes relevant today when we are increasingly indulging and isolating the self (self-improvement, self-actualization, self-realization - even selfies!) We forget that we live in an ecosystem of others, where we can nourish each other with food, love and meaning, even when we fight. ",meri gita meri gita acclaimed mythologist devdutt pattanaik demystifies bhagavad gita contemporary listener unique approach thematic rather versebyverse make ancient treatise eminently accessiblein world seems spellbound argument dialogue vivaad samvaad devdutt highlight krishna nudge arjuna understand rather judge relationship becomes relevant today increasingly indulging isolating self selfimprovement selfactualization selfrealization even selfies forget live ecosystem others nourish food love meaning even fight,3
The Unusual Billionaires,Saurabh Mukherjea,4.4,287.0,1005.0,what makes a company truly outstanding?,552.0,Literary Essays,2,The Unusual Billionaires What makes a company truly outstanding?,unusual billionaire make company truly outstanding,3
To Kill a Mockingbird,Harper Lee,4.5,15838.799999999928,888.0,brought to you by penguin. ,520.0,Climate Change,999,To Kill a Mockingbird Brought to you by Penguin. ,kill mockingbird brought penguin,0
A Space of Her Own: Personal Narratives of Twelve Women,Leela Gulati,3.4,9.0,690.0,"focusing on relationships between women of different generations in india, this book is comprised of narratives demonstrating how each contributor established her own personhood through engagement with a wider kin group.",671.0,Women Biographies,1,"A Space of Her Own: Personal Narratives of Twelve Women Focusing on relationships between women of different generations in India, this book is comprised of narratives demonstrating how each contributor established her own personhood through engagement with a wider kin group.",space personal narrative twelve woman focusing relationship woman different generation india book comprised narrative demonstrating contributor established personhood engagement wider kin group,3
The Tales of Beedle the Bard,J.K. Rowling,4.6,3687.0,652.0,"written by j.k. rowling. read by sally mortemore, warwick davis, evanna lynch, jason isaacs, bonnie wright, noma dumezweni and jude law.",95.0,Action & Adventure Fiction for Teens,1,"The Tales of Beedle the Bard Written by J.K. Rowling. Read by Sally Mortemore, Warwick Davis, Evanna Lynch, Jason Isaacs, Bonnie Wright, Noma Dumezweni and Jude Law.",tale beedle bard written jk rowling read sally mortemore warwick davis evanna lynch jason isaac bonnie wright noma dumezweni jude law,3
No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,4.1,7.0,888.0,"hard work is irrelevant. be radically honest. adequate performance gets a generous severance. and never, ever try to please your boss. these are some of the ground rules if you work at netflix. they are part of a unique cultural experiment that explains how the company has transformed itself at lightning speed from a dvd mail-order service into a streaming superpower - with 125 million fervent subscribers and a market capitalisation bigger than disney.",582.0,Workplace Culture,1,"No Rules Rules: Netflix and the Culture of Reinvention Hard work is irrelevant. Be radically honest. Adequate performance gets a generous severance. And never, ever try to please your boss. These are some of the ground rules if you work at Netflix. They are part of a unique cultural experiment that explains how the company has transformed itself at lightning speed from a DVD mail-order service into a streaming superpower - with 125 million fervent subscribers and a market capitalisation bigger than Disney.",rule rule netflix culture reinvention hard work irrelevant radically honest adequate performance get generous severance never ever try please bos ground rule work netflix part unique cultural experiment explains company transformed lightning speed dvd mailorder service streaming superpower million fervent subscriber market capitalisation bigger disney,3
Think and Grow Rich,Napoleon Hill,4.5,15838.799999999928,166.0,"
by completing your purchase you agree to audible’s  conditions of use, amazon's privacy notice and if applicable audible's recurring payment terms.
",615.0,Economics,1,"Think and Grow Rich 
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",think grow rich completing purchase agree audible condition use amazon privacy notice applicable audible recurring payment term,0
Homo Deus: A Brief History of Tomorrow,Yuval Noah Harari,4.5,5304.0,1093.0,brought to you by penguin.,893.0,Future Studies,1,Homo Deus: A Brief History of Tomorrow Brought to you by Penguin.,homo deus brief history tomorrow brought penguin,0
Inglorious Empire: What the British Did to India,Shashi Tharoor,4.5,301.0,752.0,"penguin presents the audiobook edition of inglorious empire, written and read by shashi tharoor. ",633.0,Indian History,1,"Inglorious Empire: What the British Did to India Penguin presents the audiobook edition of Inglorious Empire, written and read by Shashi Tharoor. ",inglorious empire british india penguin present audiobook edition inglorious empire written read shashi tharoor,0
Hitchhiker's Guide to the Galaxy,Douglas Adams,4.5,2449.0,323.0,"a much loved science-fiction classic, this entertaining intergalactic adventure has a lot going for it - including narration by british comedian stephen fry. adams displays his talents for a creating a whole new world in this first of five audiobooks in the hitchhiker's guide to the galaxy series. packed with brilliant humour, extraordinary characters and a highly original storyline, it's no wonder that this novel is a favourite of so many. ",520.0,LGBT Biographies,999,"Hitchhiker's Guide to the Galaxy A much loved science-fiction classic, this entertaining intergalactic adventure has a lot going for it - including narration by British comedian Stephen Fry. Adams displays his talents for a creating a whole new world in this first of five audiobooks in the Hitchhiker's Guide to the Galaxy series. Packed with brilliant humour, extraordinary characters and a highly original storyline, it's no wonder that this novel is a favourite of so many. ",hitchhiker guide galaxy much loved sciencefiction classic entertaining intergalactic adventure lot going including narration british comedian stephen fry adam display talent creating whole new world first five audiobooks hitchhiker guide galaxy series packed brilliant humour extraordinary character highly original storyline wonder novel favourite many,3
Talking to Strangers: What We Should Know About the People We Don’t Know,Malcolm Gladwell,4.5,4243.0,1093.0,brought to you by penguin.,522.0,Society & Culture,29,Talking to Strangers: What We Should Know About the People We Don’t Know Brought to you by Penguin.,talking stranger know people dont know brought penguin,0
"Men Are from Mars, Women Are from Venus: The Classic Guide to Understanding the Opposite Sex",John Gray,4.5,3935.0,11862.0,"sorry, we just need to make sure you're not a robot. for best results, please make sure your browser is accepting cookies.",520.0,Religion & Philosophy,999,"Men Are from Mars, Women Are from Venus: The Classic Guide to Understanding the Opposite Sex Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",men mar woman venus classic guide understanding opposite sex sorry need make sure youre robot best result please make sure browser accepting cooky,1
